0	1
1	1
2	6
3	7
4	12
5	19
6	28
7	69
8	131
9	241
10	262
11	267
12	322
13	223
14	270
15	248
16	168
17	155
18	196
19	206
20	246
21	209
22	178
23	198
24	169
25	149
26	103
27	137
28	105
29	100
30	76
31	95
32	93
33	91
34	101
35	78
36	98
37	66
38	82
39	71
40	79
41	59
42	96
43	141
44	146
45	216
46	241
47	261
48	259
49	428
50	460
51	571
52	764
53	957
54	1162
55	884
56	879
57	850
58	654
59	624
60	484
61	394
62	424
63	349
64	348
65	273
66	238
67	213
68	256
69	168
70	142
71	133
72	106
73	90
74	42
